Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East Asia & Pacific (excluding high income),EAP,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.84526,97.86561,97.92853,98.01593,98.15148,98.23334,98.31032,98.25292,98.51713,98.89217,98.85713,98.84149,98.42478,98.45675,98.48134,98.67299,98.72313,98.74091,98.76678,98.76907,98.80507,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.82023,97.84115,97.90502,97.99365,98.13093,98.21383,98.2917,98.23366,98.50071,98.87978,98.84417,98.82807,98.4061,98.4379,98.46219,98.65575,98.70614,98.72389,98.74996,98.75224,98.78876,,,,
Ecuador,ECU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,96.43721,,,,,,98.39142,98.45375,98.80065,98.65271,98.69484,98.83163,98.60464,99.09777,99.1262,99.05711,99.25505,,,,,,
"Egypt, Arab Rep.",EGY,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,84.85342,84.87827,,,,87.50964,,89.28192,92.02342,,,,88.19256,,,,,,
El Salvador,SLV,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,94.95099,93.56494,95.95747,95.02206,96.03446,96.54509,,97.22419,,97.94933,98.00859,97.98045,97.97372,,,,,
Equatorial Guinea,GNQ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,97.13137,,,,,,,,,,97.96704,,,,,,,,,,,,,
Eritrea,ERI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,77.94529,,,,,,86.97491,,,,,,,,,,93.27239,,,,,
Estonia,EST,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,99.7705,,,,,,,,,,,99.9489,,,,,,,,,,,,
Eswatini,SWZ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,91.86324,,,,,,,,,,93.5023,,,,,,,,95.46937,,,,,
Ethiopia,ETH,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,49.9,44.60597,,54.98298,,,,,,,,,,72.75482,,,,,,
Euro area,EMU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.96355,99.02104,99.05027,99.10485,99.11296,99.10326,99.18926,99.17114,99.22386,99.22017,99.41684,99.47224,99.50116,99.53741,99.56687,99.59408,99.60965,99.6416,99.65887,99.67011,99.68487,,,,
Europe & Central Asia (excluding high income),ECA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.71918,98.86287,98.90016,98.9288,98.92612,98.8897,99.01742,99.01961,99.05563,99.1007,99.35907,99.44012,99.52901,99.58516,99.62598,99.6545,99.68006,99.73519,99.73756,99.75513,99.76877,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.78503,98.90389,98.9335,98.95637,98.95052,98.91577,99.02371,99.02408,99.05392,99.09214,99.37462,99.44893,99.53032,99.58257,99.62172,99.64994,99.6751,99.72597,99.72953,99.74617,99.75911,,,,
European Union,EUU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,99.74434,,,,,,
Finland,FIN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,74.4411,71.2741,71.4854,71.64476,71.42243,72.00561,71.91342,72.36356,69.29297,69.72689,68.67237,68.83041,69.76562,71.82965,72.38547,73.23951,71.88719,74.04414,74.78029,73.15035,73.47483,,,,
France,FRA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,88.50414,,,,,,89.78366,,,,,
"Gambia, The",GMB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,52.55502,,,,,,,,,,,,,60.7779,,67.16138,,,,,,,,
Georgia,GEO,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,99.82542,,,,,,,,,,,,99.70261,,,99.64081,,,,,,
Germany,DEU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,70.66306,,,,,,,,,,85.71615,,,,,,,,92.49097,,,,,
Gibraltar,GIB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
